Prereq1,Prereq2,Prereq3,CRN,Subj,Crse,Sec,Cred,Title,Days,Start,End,Rem,Instructor,Date (MM/DD),Location
,,,8464,SOC,201,3,3,Introduction to Sociology,MR,12:00,13:15,30,Kimberly Torres,08/31-12/19,MGL 304
,,,8465,SOC,201,4,3,Introduction to Sociology,TF,14:00,15:15,30,Nathalie Chara,08/31-12/19,HAY 210
,,,8466,SOC,201,5,3,Introduction To Sociology-LL,MR,15:00,16:15,18,Ellen Casper Flood,08/31-12/19,HAY 207
,,,8467,SOC,201,6,3,Introduction to Sociology,MWR,16:30,17:20,30,Nicola Marcucci,08/31-12/19,HAY 210
,,,9001,SOC,201,7,3,Introduction to Sociology,MWR,17:30,18:20,30,Nicola Marcucci,08/31-12/19,HAY 210
,,,9002,SOC,220,1,3,Social Problems,TF,11:00,12:15,25,Ricardo Dello Buono,08/31-12/19,DLS 302
,,,9003,SOC,250,1,3,Introduction to GIS,MR,13:30,14:45,25,Robin Lovell,08/31-12/19,DLS 309
,,,9004,SOC,270,1,3,Criminology,TWF,10:00,10:50,30,Rafael Santana,08/31-12/19,DLS 302
,,,9005,SOC,275,1,3,Police & Society,TWF,9:00,9:50,25,Rafael Santana,08/31-12/19,DLS 302
,,,9007,SOC,290,1,3,Codes of Gender,T,12:30,13:45,30,Nadeen M Thomas,08/31-12/19,HAY 409
,,,,SOC,290,1,,,F,12:30,13:45,,Nadeen M Thomas,08/31-12/19,HAY 202
,,,9008,SOC,295,1,3,Capitalism,MR,9:30,10:45,25,Cory Blad,08/31-12/19,MGL 207
,,,9009,SOC,307,1,3,Research Methods,MR,9:30,10:45,25,Robin Lovell,08/31-12/19,MGL 216
,,,9010,SOC,312,1,3,Social Service Practice,MR,15:00,16:15,25,Carmen Susana Fajardo,08/31-12/19,HAY 208
,,,9011,SOC,313,61,3,Family Law,T,18:30,21:15,20,Jennifer Neal Clark,08/31-12/19,DLS 307
,,,8475,SOC,315,1,3,Spl Tpc: Civil Rights Law,TWF,10:00,10:50,25,Sheetal J Kale,08/31-12/19,DLS 207
,,,9012,SOC,324,1,3,Sociological Theories,TF,12:30,13:45,25,Ricardo Dello Buono,08/31-12/19,HAY 210
,,,9013,SOC,334,1,3,Sustainable Development,MWR,16:30,17:20,30,Dart Westphal,08/31-12/19,MGL 307
,,,9014,SOC,362,1,3,Modern American Gangs,MR,13:30,14:45,25,Madeleine Novich,08/31-12/19,MGL 308
,,,8997,SPCH,204,1,3,Fundamentals of Speech,TF,11:00,12:15,18,Patrice Athanasidy,08/31-12/19,LEO 233
,,,8998,SPCH,204,2,3,Fundamentals of Speech,TF,11:00,12:15,18,Golda Solomon,08/31-12/19,LEO 235
,,,8999,SPCH,204,3,3,Fundamentals of Speech,R,11:00,13:45,18,Gail Small,08/31-12/19,LEO 256
,,,9000,SPCH,204,4,3,Fundamentals of Speech,TF,12:30,13:45,18,Golda Solomon,08/31-12/19,LEO 235
